homepass,residentials,name,nos
11460H000667,Taman Duta Mas,Jl. Wijaya 1,F7/14
11460H000668,Taman Duta Mas,Jl. Wijaya 1,F7/15
11460H000669,Taman Duta Mas,Jl. Wijaya 1,F7/16
11460H000670,Taman Duta Mas,Jl. Wijaya 1,F7/17
11460H000671,Taman Duta Mas,Jl. Wijaya 1,F7/18
11460H000672,Taman Duta Mas,Jl. Wijaya 1,F7/19
11460H000647,Taman Duta Mas,Jl. Kusuma 1,F1/6
11460H000648,Taman Duta Mas,Jl. Kusuma 1,F1/7
11460H000649,Taman Duta Mas,Jl. Kusuma 1,F1/8
11460H000650,Taman Duta Mas,Jl. Wijaya 5,F1/29
11460H000651,Taman Duta Mas,Jl. Wijaya 5,F1/30
11460H000652,Taman Duta Mas,Jl. Wijaya 5,F1/31
11460H000653,Taman Duta Mas,Jl. Wijaya 5,F1/32
11460H000654,Taman Duta Mas,Jl. Wijaya 2,F7/1
11460H000655,Taman Duta Mas,Jl. Wijaya 2,F7/2
11460H000656,Taman Duta Mas,Jl. Wijaya 2,F7/3
11460H000657,Taman Duta Mas,Jl. Wijaya 2,F7/4
11460H000658,Taman Duta Mas,Jl. Wijaya 2,F7/5
11460H000659,Taman Duta Mas,Jl. Wijaya 2,F7/6
11460H000660,Taman Duta Mas,Jl. Wijaya 2,F7/7
11460H000661,Taman Duta Mas,Jl. Wijaya 2,F7/8
11460H000662,Taman Duta Mas,Jl. Wijaya 2,F7/9
11460H000663,Taman Duta Mas,Jl. Wijaya 1,F7/10
11460H000664,Taman Duta Mas,Jl. Wijaya 1,F7/11
11460H000665,Taman Duta Mas,Jl. Wijaya 1,F7/12
11460H000666,Taman Duta Mas,Jl. Wijaya 1,F7/12A
11460H000004,Taman Duta Mas,Jl. Kusuma 4,A2/12A
11460H000005,Taman Duta Mas,Jl. Kusuma 4,A2/14
11460H000006,Taman Duta Mas,Jl. Kusuma 4,A2/15
11460H000007,Taman Duta Mas,Jl. Kusuma 4,A2/16
11460H000008,Taman Duta Mas,Jl. Kusuma 4,A2/17
11460H000009,Taman Duta Mas,Jl. Kusuma 4,A2/18
11460H000010,Taman Duta Mas,Jl. Kusuma 4,A2/19
11460H000011,Taman Duta Mas,Jl. Kusuma 4,A2/20
11460H000012,Taman Duta Mas,Jl. Kusuma 4,A2/21
11460H000013,Taman Duta Mas,Jl. Kusuma 4,A2/22
11460H000014,Taman Duta Mas,Jl. Kusuma 4,A2/23
11460H000015,Taman Duta Mas,Jl. Kusuma 4,A2/24
11460H000016,Taman Duta Mas,Jl. Kusuma 6E,A3/7
11460H000017,Taman Duta Mas,Jl. Kusuma 6E,A3/8
