homepass,residentials,name,nos
11730H001914,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,12
11730H001922,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,2
11730H001923,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,20
11730H001924,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,21
11730H001925,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,22
11730H001926,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,23
11730H001927,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,24
11730H001928,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,25
11730H001929,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,26
11730H001930,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,27
11730H001931,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,28
11730H001932,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,29
11730H001933,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,3
11730H001934,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,30
11730H001935,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,31
11730H001936,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,32
11730H001937,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,33
11730H001938,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,34
11730H001939,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,35
11730H001940,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,36
11730H001941,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,37
11730H001942,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,38
11730H001943,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,4
11730H001944,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,5
11730H001945,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,6
11730H001946,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,7
11730H001947,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,8
11730H001948,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/3,9
11730H001949,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,1
11730H001950,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,10
11730H001951,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,11
11730H001952,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,12
11730H001953,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,13
11730H001954,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,2
11730H001955,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,3
11730H001956,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,4
11730H001957,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,5
11730H001958,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,6
11730H001959,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,7
11730H001960,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,8
11730H001961,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/4,9
11730H001962,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/5,1
11730H001963,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/5,10
11730H001964,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/5,11
11730H001965,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/5,12
11730H001966,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/5,13
11730H001967,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/5,14
11730H001968,Taman Palem Lestari,Jl. Taman Palem Lestari Block C/5,15
11730H002124,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,22
11730H002125,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,23
11730H002126,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,24
11730H002127,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,25
11730H002128,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,26
11730H002129,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,27
11730H002130,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,28
11730H002131,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,29
11730H002132,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,3
11730H002133,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,30
11730H002134,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,31
11730H002135,Taman Palem Lestari,Jl. Taman Palem Lestari Block F/7B,32
