homepass,residentials,name,nos
11550H000014,Villa Kelapa Dua,Jl. Janur 1,21
11550H000093,Villa Kelapa Dua,Jl. Janur 4,19
11550H000174,Villa Kelapa Dua,Jl. Janur Raya,16
11550H000264,Villa Kelapa Dua,Jl. Wicaksana,39
11550H000106,Villa Kelapa Dua,Jl. Janur 4,30
11550H000107,Villa Kelapa Dua,Jl. Janur 4,31
11550H000187,Villa Kelapa Dua,Jl. Janur Raya,28
11550H000277,Villa Kelapa Dua,Jl.Mayang,10
11550H000252,Villa Kelapa Dua,Jl. Wicaksana,28
11550H000253,Villa Kelapa Dua,Jl. Wicaksana,29
11550H000254,Villa Kelapa Dua,Jl. Wicaksana,3
11550H000255,Villa Kelapa Dua,Jl. Wicaksana,30
11550H000256,Villa Kelapa Dua,Jl. Wicaksana,31
11550H000257,Villa Kelapa Dua,Jl. Wicaksana,32
11550H000258,Villa Kelapa Dua,Jl. Wicaksana,33
11550H000259,Villa Kelapa Dua,Jl. Wicaksana,34
11550H000260,Villa Kelapa Dua,Jl. Wicaksana,35
11550H000261,Villa Kelapa Dua,Jl. Wicaksana,36
11550H000262,Villa Kelapa Dua,Jl. Wicaksana,37
11550H000263,Villa Kelapa Dua,Jl. Wicaksana,38
11550H000094,Villa Kelapa Dua,Jl. Janur 4,2
11550H000095,Villa Kelapa Dua,Jl. Janur 4,20
11550H000096,Villa Kelapa Dua,Jl. Janur 4,21
11550H000097,Villa Kelapa Dua,Jl. Janur 4,22
11550H000098,Villa Kelapa Dua,Jl. Janur 4,23
11550H000099,Villa Kelapa Dua,Jl. Janur 4,24
11550H000100,Villa Kelapa Dua,Jl. Janur 4,25
11550H000101,Villa Kelapa Dua,Jl. Janur 4,26
11550H000102,Villa Kelapa Dua,Jl. Janur 4,27
11550H000103,Villa Kelapa Dua,Jl. Janur 4,28
11550H000104,Villa Kelapa Dua,Jl. Janur 4,29
11550H000105,Villa Kelapa Dua,Jl. Janur 4,3
11550H000175,Villa Kelapa Dua,Jl. Janur Raya,17
11550H000176,Villa Kelapa Dua,Jl. Janur Raya,18
11550H000177,Villa Kelapa Dua,Jl. Janur Raya,19
11550H000178,Villa Kelapa Dua,Jl. Janur Raya,2
